Event{id=23, msg='Some event for 2', date=19.06.2021 17:02:51}
Event{id=75, msg='Some event for 2', date=19.06.2021 17:03:32}
Event{id=54, msg='Some event for 2', date=19.06.2021 17:03:46}
Event{id=37, msg='Some event for 2', date=19.06.2021 17:14:06}
Event{id=2, msg='Some event for 2', date=19.06.2021 20:44:42}
Event{id=86, msg='Some event for 2', date=19.06.2021 20:45:29}
Event [id=1, msg=Some event for 2, date=20.06.2021 0:14:43]
Event [id=2, msg=Some event for 3, date=20.06.2021 0:14:43]
Event [id=2, msg=Some event for 3, date=20.06.2021 0:14:43]
Event [id=1, msg=Some event for 2, date=21.06.2021 14:44:25]
Event [id=2, msg=Some event for 3, date=21.06.2021 14:44:25]
Event [id=2, msg=Some event for 3, date=21.06.2021 14:44:25]
Event [id=1, msg=Some event for 2, date=22.06.2021 11:57:00]
Event [id=2, msg=Some event for 3, date=22.06.2021 11:57:00]
Event [id=1, msg=Some event for 2, date=22.06.2021 11:58:29]
Event [id=2, msg=Some event for 3, date=22.06.2021 11:58:29]
Event [id=1, msg=Some event for 2, date=22.06.2021 11:59:55]
Event [id=2, msg=Some event for 3, date=22.06.2021 11:59:55]
Event [id=1, msg=Some event for 2, date=22.06.2021 12:00:23]
Event [id=1, msg=Some event for 2, date=22.06.2021 12:01:15]
Event [id=1, msg=Some event for 2, date=22.06.2021 12:01:49]
Event [id=2, msg=Some event for 3, date=22.06.2021 12:01:49]
